,0
485,1720938.1620804262
486,-16.0
487,-9771.343531220984
488,249748705.8276739
489,249748705.8276739
490,249798747.49885374
491,1025676849.1142578
492,519186991.15859985
493,-2.637947279120323e+17
494,-2.0846000733206355e+17
495,-4.781238050160591e+19
496,1992.0
497,5504401.149
498,70.25212580614856
499,136448795.32341608
500,25652710.506172743
501,1720939.6722530376
502,-16.0
503,-9757.22659194925
504,257082536.13888443
505,257082536.13888443
506,257549632.48176152
507,1032119194.9448242
508,529799948.68666077
509,-2.721995332801056e+17
510,-2.1510258064962557e+17
511,-4.933573828608853e+19
512,1993.0
513,5588094.837
514,71.72783055299784
515,138860292.2952934
516,26089378.228025336
517,1720941.1480640264
518,-16.0
519,-9743.641485310642
520,264393281.87697148
521,264393281.87697148
522,265247213.11241132
523,1038546993.3852539
524,539940052.1348572
525,-2.8054043807100413e+17
526,-2.2169466327229702e+17
527,-5.084751419122672e+19
528,1994.0
529,5670319.703
530,73.17763672076101
531,141229467.5594067
532,26518382.442965113
533,1720942.5979745719
534,-16.0
535,-9730.491506719209
536,271714135.1928648
537,271714135.1928648
538,272928156.8754745
539,1044722604.965332
540,549500517.5505981
541,-2.888575383090426e+17
542,-2.2826794365537648e+17
543,-5.235497555851055e+19
544,1995.0
545,5751474.416
546,74.60857372527315
547,143567808.11207864
548,26941803.186991967
549,1720944.0290145953
550,-16.0
551,-9717.698338451515
552,279074227.0116838
553,279074227.0116838
554,280624258.1923548
555,1050444831.5546875
556,558391881.345932
557,-2.9718552326744326e+17
558,-2.3484983737294986e+17
559,-5.386440976427864e+19
560,1996.0
561,5831565.02
562,76.02074813561609
563,145875488.101301
564,27359671.994380143
565,1720945.441290674
566,-16.0
567,-9705.248682772602
568,286468833.5918369
569,286468833.5918369
570,288331578.4236202
571,1055535340.6704102
572,566509720.2567291
573,-3.055203443407359e+17
574,-2.414371442561099e+17
575,-5.537508300514245e+19
576,1997.0
577,5910566.295
578,77.41371526743427
579,148151780.85395098
580,27771857.28101371
581,1720946.8343580912
582,-16.0
583,-9693.134751493553
584,293890377.5969366
585,293890377.5969366
586,296043198.5144536
587,1059875267.9355469
588,573782005.7251434
589,-3.138547285395347e+17
590,-2.4802411579270512e+17
591,-5.688567706318838e+19
592,1998.0
593,5988846.102999999
594,78.79396134104559
595,150407285.71294507
596,28180278.34887749
597,1720948.2147035345
598,-16.0
599,-9681.290110945227
600,301369055.90118706
601,301369055.90118706
602,303791294.77933186
603,1063424932.7143555
604,580203776.4057922
605,-3.222236221308625e+17
606,-2.546383709727456e+17
607,-5.840252589447804e+19
608,1999.0
609,6066867.391
610,80.16964913552893
611,152655341.74022838
612,28587350.601291142
613,1720949.5904903705
614,-16.0
615,-9669.637650282026
616,308946757.9504521
617,308946757.9504521
618,311619687.29866767
619,1066190334.5493164
620,585796239.4827881
621,-3.306744469097575e+17
622,-2.6131738886867514e+17
623,-5.993422462494971e+19
624,2000.0
625,6145006.989
626,81.54742299686833
627,154906806.67699528
628,28995040.130340666
629,1720950.9683634236
630,-16.0
631,-9658.116756924675
632,316659749.3092075
633,316659749.3092075
634,319565900.51204985
635,1068206751.7666016
636,590590842.449585
637,-3.392477236281455e+17
638,-2.6809319459324474e+17
639,-6.1488117577306374e+19
640,2001.0
641,6223412.158
642,82.92987946205386
643,157165923.60852575
644,29404115.2630878
645,1720952.3509194173
646,-16.0
647,-9646.70302407264
648,324523479.34735906
649,324523479.34735906
650,327645691.60434455
651,1069532695.015625
652,594628383.3953705
653,-3.479604184382981e+17
654,-2.7497919724708557e+17
655,-6.306727984002467e+19
656,2002.0
657,6302149.6389999995
658,84.31819532246445
659,159434615.5677658
660,29814924.217434295
661,1720953.7393352285
662,-16.0
663,-9635.384718674859
664,332546069.10139817
665,332546069.10139817
666,335867159.76590616
667,1070249330.2802734
668,597978129.9567261
669,-3.568212117876953e+17
670,-2.8198225745054723e+17
671,-6.467328473058923e+19
672,2003.0
673,6381408.987000001
674,85.71571285181244
675,161718344.27255142
676,30228455.987317376
677,1720955.1369533709
678,-16.0
679,-9624.133322604515
680,340748881.0691834
681,340748881.0691834
682,344251850.91172314
683,1070447535.831543
684,600749460.1222839
685,-3.6585324974284346e+17
686,-2.8912066866768154e+17
687,-6.631032743723447e+19
688,2004.0
689,6461370.865
690,87.12561753819193
691,164022315.23225653
692,30645653.173099354
693,1720956.5469595622
694,-16.0
695,-9612.92292685152
696,349153568.6061733
697,349153568.6061733
698,352821406.79547703
699,1070206091.1044922
700,603086307.8509064
701,-3.75079737657759e+17
